class index,filepaths,labels,data set
0,train/AIR COMPRESSOR/001.jpg,AIR COMPRESSOR,train
0,train/AIR COMPRESSOR/002.jpg,AIR COMPRESSOR,train
0,train/AIR COMPRESSOR/003.jpg,AIR COMPRESSOR,train
0,train/AIR COMPRESSOR/004.jpg,AIR COMPRESSOR,train
0,train/AIR COMPRESSOR/005.jpg,AIR COMPRESSOR,train
0,train/AIR COMPRESSOR/006.jpg,AIR COMPRESSOR,train
0,train/AIR COMPRESSOR/007.jpg,AIR COMPRESSOR,train
0,train/AIR COMPRESSOR/008.jpg,AIR COMPRESSOR,train
0,train/AIR COMPRESSOR/009.jpg,AIR COMPRESSOR,train
0,train/AIR COMPRESSOR/010.jpg,AIR COMPRESSOR,train
0,train/AIR COMPRESSOR/011.jpg,AIR COMPRESSOR,train
0,train/AIR COMPRESSOR/012.jpg,AIR COMPRESSOR,train
0,train/AIR COMPRESSOR/013.jpg,AIR COMPRESSOR,train
0,train/AIR COMPRESSOR/014.jpg,AIR COMPRESSOR,train
0,train/AIR COMPRESSOR/015.jpg,AIR COMPRESSOR,train
0,train/AIR COMPRESSOR/016.jpg,AIR COMPRESSOR,train
0,train/AIR COMPRESSOR/017.jpg,AIR COMPRESSOR,train
0,train/AIR COMPRESSOR/018.jpg,AIR COMPRESSOR,train
0,train/AIR COMPRESSOR/019.jpg,AIR COMPRESSOR,train
0,train/AIR COMPRESSOR/020.jpg,AIR COMPRESSOR,train
0,train/AIR COMPRESSOR/021.jpg,AIR COMPRESSOR,train
0,train/AIR COMPRESSOR/022.jpg,AIR COMPRESSOR,train
0,train/AIR COMPRESSOR/023.jpg,AIR COMPRESSOR,train
0,train/AIR COMPRESSOR/024.jpg,AIR COMPRESSOR,train
0,train/AIR COMPRESSOR/025.jpg,AIR COMPRESSOR,train
0,train/AIR COMPRESSOR/026.jpg,AIR COMPRESSOR,train
0,train/AIR COMPRESSOR/027.jpg,AIR COMPRESSOR,train
0,train/AIR COMPRESSOR/028.jpg,AIR COMPRESSOR,train
0,train/AIR COMPRESSOR/029.jpg,AIR COMPRESSOR,train
0,train/AIR COMPRESSOR/030.jpg,AIR COMPRESSOR,train
0,train/AIR COMPRESSOR/031.jpg,AIR COMPRESSOR,train
0,train/AIR COMPRESSOR/032.jpg,AIR COMPRESSOR,train
0,train/AIR COMPRESSOR/033.jpg,AIR COMPRESSOR,train
0,train/AIR COMPRESSOR/034.jpg,AIR COMPRESSOR,train
0,train/AIR COMPRESSOR/035.jpg,AIR COMPRESSOR,train
0,train/AIR COMPRESSOR/036.jpg,AIR COMPRESSOR,train
0,train/AIR COMPRESSOR/037.jpg,AIR COMPRESSOR,train
0,train/AIR COMPRESSOR/038.jpg,AIR COMPRESSOR,train
0,train/AIR COMPRESSOR/039.jpg,AIR COMPRESSOR,train
0,train/AIR COMPRESSOR/040.jpg,AIR COMPRESSOR,train
0,train/AIR COMPRESSOR/041.jpg,AIR COMPRESSOR,train
0,train/AIR COMPRESSOR/042.jpg,AIR COMPRESSOR,train
0,train/AIR COMPRESSOR/043.jpg,AIR COMPRESSOR,train
0,train/AIR COMPRESSOR/044.jpg,AIR COMPRESSOR,train
0,train/AIR COMPRESSOR/045.jpg,AIR COMPRESSOR,train
0,train/AIR COMPRESSOR/046.jpg,AIR COMPRESSOR,train
0,train/AIR COMPRESSOR/047.jpg,AIR COMPRESSOR,train
0,train/AIR COMPRESSOR/048.jpg,AIR COMPRESSOR,train
0,train/AIR COMPRESSOR/049.jpg,AIR COMPRESSOR,train
0,train/AIR COMPRESSOR/050.jpg,AIR COMPRESSOR,train
0,train/AIR COMPRESSOR/051.jpg,AIR COMPRESSOR,train
0,train/AIR COMPRESSOR/052.jpg,AIR COMPRESSOR,train
0,train/AIR COMPRESSOR/053.jpg,AIR COMPRESSOR,train
0,train/AIR COMPRESSOR/054.jpg,AIR COMPRESSOR,train
0,train/AIR COMPRESSOR/055.jpg,AIR COMPRESSOR,train
0,train/AIR COMPRESSOR/056.jpg,AIR COMPRESSOR,train
0,train/AIR COMPRESSOR/057.jpg,AIR COMPRESSOR,train
0,train/AIR COMPRESSOR/058.jpg,AIR COMPRESSOR,train
0,train/AIR COMPRESSOR/059.jpg,AIR COMPRESSOR,train
0,train/AIR COMPRESSOR/060.jpg,AIR COMPRESSOR,train
0,train/AIR COMPRESSOR/061.jpg,AIR COMPRESSOR,train
0,train/AIR COMPRESSOR/062.jpg,AIR COMPRESSOR,train
0,train/AIR COMPRESSOR/063.jpg,AIR COMPRESSOR,train
0,train/AIR COMPRESSOR/064.jpg,AIR COMPRESSOR,train
0,train/AIR COMPRESSOR/065.jpg,AIR COMPRESSOR,train
0,train/AIR COMPRESSOR/066.jpg,AIR COMPRESSOR,train
0,train/AIR COMPRESSOR/067.jpg,AIR COMPRESSOR,train
0,train/AIR COMPRESSOR/068.jpg,AIR COMPRESSOR,train
0,train/AIR COMPRESSOR/069.jpg,AIR COMPRESSOR,train
0,train/AIR COMPRESSOR/070.jpg,AIR COMPRESSOR,train
0,train/AIR COMPRESSOR/071.jpg,AIR COMPRESSOR,train
0,train/AIR COMPRESSOR/072.jpg,AIR COMPRESSOR,train
0,train/AIR COMPRESSOR/073.jpg,AIR COMPRESSOR,train
0,train/AIR COMPRESSOR/074.jpg,AIR COMPRESSOR,train
0,train/AIR COMPRESSOR/075.jpg,AIR COMPRESSOR,train
0,train/AIR COMPRESSOR/076.jpg,AIR COMPRESSOR,train
0,train/AIR COMPRESSOR/077.jpg,AIR COMPRESSOR,train
0,train/AIR COMPRESSOR/078.jpg,AIR COMPRESSOR,train
0,train/AIR COMPRESSOR/079.jpg,AIR COMPRESSOR,train
0,train/AIR COMPRESSOR/080.jpg,AIR COMPRESSOR,train
0,train/AIR COMPRESSOR/081.jpg,AIR COMPRESSOR,train
0,train/AIR COMPRESSOR/082.jpg,AIR COMPRESSOR,train
0,train/AIR COMPRESSOR/083.jpg,AIR COMPRESSOR,train
0,train/AIR COMPRESSOR/084.jpg,AIR COMPRESSOR,train
